|| A: ba7c | B: ee3 || Sum: 04d63f4 | Correct: 04d63f4 || Equals: 1 ||
|| A: abe3 | B: f31 || Sum: 0440373 | Correct: 0440373 || Equals: 1 ||
|| A: 738f | B: 543 || Sum: 260096d | Correct: 260096d || Equals: 1 ||
|| A: 99f1 | B: 6cd || Sum: d49ebfd | Correct: d49ebfd || Equals: 1 ||
|| A: f699 | B: fc8 || Sum: 0020e88 | Correct: 0020e88 || Equals: 1 ||
|| A: d211 | B: 1f0 || Sum: fa700f0 | Correct: fa700f0 || Equals: 1 ||
|| A: e5b4 | B: 987 || Sum: 0aa35ec | Correct: 0aa35ec || Equals: 1 ||
|| A: 0160 | B: 9f4 || Sum: ff7af80 | Correct: ff7af80 || Equals: 1 ||
|| A: adb6 | B: 227 || Sum: f4ee2ba | Correct: f4ee2ba || Equals: 1 ||
|| A: ac5b | B: 717 || Sum: daef92d | Correct: daef92d || Equals: 1 ||
|| A: f5d3 | B: 022 || Sum: ffea606 | Correct: ffea606 || Equals: 1 ||
|| A: 8a8f | B: a1a || Sum: 2b4b886 | Correct: 2b4b886 || Equals: 1 ||
|| A: db91 | B: d19 || Sum: 069be29 | Correct: 069be29 || Equals: 1 ||
|| A: f766 | B: c9a || Sum: 01d3b5c | Correct: 01d3b5c || Equals: 1 ||
|| A: 74ba | B: acd || Sum: da11cf2 | Correct: da11cf2 || Equals: 1 ||
|| A: bb0e | B: 7cc || Sum: de67128 | Correct: de67128 || Equals: 1 ||
|| A: 94c7 | B: a8f || Sum: 2477129 | Correct: 2477129 || Equals: 1 ||
|| A: cb95 | B: 3ab || Sum: f3fbb87 | Correct: f3fbb87 || Equals: 1 ||
|| A: 5cbb | B: ca6 || Sum: ec93542 | Correct: ec93542 || Equals: 1 ||
|| A: dd85 | B: 57a || Sum: f432a62 | Correct: f432a62 || Equals: 1 ||
|| A: ef8f | B: a06 || Sum: 062435a | Correct: 062435a || Equals: 1 ||
|| A: bfb2 | B: 85d || Sum: 1eb13aa | Correct: 1eb13aa || Equals: 1 ||
|| A: a980 | B: e4e || Sum: 092a500 | Correct: 092a500 || Equals: 1 ||
|| A: 58eb | B: 1b8 || Sum: 098d3e8 | Correct: 098d3e8 || Equals: 1 ||
|| A: 20f1 | B: 520 || Sum: 0a8d320 | Correct: 0a8d320 || Equals: 1 ||
|| A: 9dd8 | B: e9d || Sum: 0881d78 | Correct: 0881d78 || Equals: 1 ||
|| A: 50ab | B: cd7 || Sum: f01139d | Correct: f01139d || Equals: 1 ||
|| A: b156 | B: ff9 || Sum: 00226a6 | Correct: 00226a6 || Equals: 1 ||
|| A: aec3 | B: 4d5 || Sum: e77743f | Correct: e77743f || Equals: 1 ||
|| A: f05c | B: dce || Sum: 0225608 | Correct: 0225608 || Equals: 1 ||
|| A: 9d64 | B: 0de || Sum: faa7cb8 | Correct: faa7cb8 || Equals: 1 ||
|| A: 3994 | B: b1e || Sum: ee6db58 | Correct: ee6db58 || Equals: 1 ||
|| A: fbab | B: 350 || Sum: ff1a670 | Correct: ff1a670 || Equals: 1 ||
|| A: c0b7 | B: 3d6 || Sum: f0d3dfa | Correct: f0d3dfa || Equals: 1 ||
|| A: 211b | B: 6e2 || Sum: 0e3dbd6 | Correct: 0e3dbd6 || Equals: 1 ||
|| A: 82ba | B: c2f || Sum: 1de1826 | Correct: 1de1826 || Equals: 1 ||
|| A: a615 | B: 68a || Sum: db40552 | Correct: db40552 || Equals: 1 ||
|| A: e376 | B: b4f || Sum: 085e36a | Correct: 085e36a || Equals: 1 ||
|| A: c6f9 | B: 2fa || Sum: f56412a | Correct: f56412a || Equals: 1 ||
|| A: 516c | B: 58a || Sum: 1c30038 | Correct: 1c30038 || Equals: 1 ||
|| A: 4737 | B: f1a || Sum: fc00496 | Correct: fc00496 || Equals: 1 ||
|| A: a7c2 | B: 9fe || Sum: 212247c | Correct: 212247c || Equals: 1 ||
|| A: b72a | B: 8f9 || Sum: 1ffd7da | Correct: 1ffd7da || Equals: 1 ||
|| A: 8a02 | B: e70 || Sum: 0b85ce0 | Correct: 0b85ce0 || Equals: 1 ||
|| A: 2ad5 | B: 17d || Sum: 03fbf01 | Correct: 03fbf01 || Equals: 1 ||
|| A: a9f6 | B: fbf || Sum: 015d88a | Correct: 015d88a || Equals: 1 ||
|| A: 8300 | B: 34e || Sum: e62ea00 | Correct: e62ea00 || Equals: 1 ||
|| A: 6f75 | B: 65a || Sum: 2c3ed22 | Correct: 2c3ed22 || Equals: 1 ||
|| A: eb2f | B: c36 || Sum: 04edfea | Correct: 04edfea || Equals: 1 ||
|| A: 38c0 | B: ca4 || Sum: f415b00 | Correct: f415b00 || Equals: 1 ||
|| A: 8c20 | B: 7b4 || Sum: c836680 | Correct: c836680 || Equals: 1 ||
|| A: 6e6b | B: a7b || Sum: d9e8b69 | Correct: d9e8b69 || Equals: 1 ||
|| A: 2737 | B: f6d || Sum: fe97b6b | Correct: fe97b6b || Equals: 1 ||
|| A: e35d | B: fda || Sum: 0044032 | Correct: 0044032 || Equals: 1 ||
|| A: b570 | B: 317 || Sum: f199d10 | Correct: f199d10 || Equals: 1 ||
|| A: b83e | B: b09 || Sum: 164442e | Correct: 164442e || Equals: 1 ||
|| A: bf31 | B: c9a || Sum: 0dc3f7a | Correct: 0dc3f7a || Equals: 1 ||
|| A: 0865 | B: 114 || Sum: 0090ce4 | Correct: 0090ce4 || Equals: 1 ||
|| A: 8313 | B: 7c1 || Sum: c375653 | Correct: c375653 || Equals: 1 ||
|| A: 7ee7 | B: 6be || Sum: 3579972 | Correct: 3579972 || Equals: 1 ||
|| A: e193 | B: 714 || Sum: f28a47c | Correct: f28a47c || Equals: 1 ||
|| A: 219f | B: 3f9 || Sum: 08590a7 | Correct: 08590a7 || Equals: 1 ||
|| A: 3ff1 | B: b82 || Sum: ee0c362 | Correct: ee0c362 || Equals: 1 ||
|| A: 7769 | B: d20 || Sum: ea8b220 | Correct: ea8b220 || Equals: 1 ||
|| A: 090f | B: cb7 || Sum: fe23db9 | Correct: fe23db9 || Equals: 1 ||
|| A: f96b | B: c86 || Sum: 016e202 | Correct: 016e202 || Equals: 1 ||
|| A: 95d3 | B: 51b || Sum: de1ec41 | Correct: de1ec41 || Equals: 1 ||
|| A: 2f98 | B: cc6 || Sum: f666f90 | Correct: f666f90 || Equals: 1 ||
|| A: 9e67 | B: 196 || Sum: f65375a | Correct: f65375a || Equals: 1 ||
|| A: 63ce | B: 1a9 || Sum: 0a5b0fe | Correct: 0a5b0fe || Equals: 1 ||
|| A: 03cf | B: 410 || Sum: 00f78f0 | Correct: 00f78f0 || Equals: 1 ||
|| A: aeeb | B: fdb || Sum: 00bb809 | Correct: 00bb809 || Equals: 1 ||
|| A: 91ac | B: 339 || Sum: e9c734c | Correct: e9c734c || Equals: 1 ||
|| A: d80d | B: 7ab || Sum: ecdabaf | Correct: ecdabaf || Equals: 1 ||
|| A: 88f0 | B: 9bf || Sum: 2e89b10 | Correct: 2e89b10 || Equals: 1 ||
|| A: 2bfa | B: 896 || Sum: eb9f47c | Correct: eb9f47c || Equals: 1 ||
|| A: 027c | B: 1cc || Sum: 00476d0 | Correct: 00476d0 || Equals: 1 ||
|| A: 46c9 | B: d86 || Sum: f50b236 | Correct: f50b236 || Equals: 1 ||
|| A: 8e72 | B: ee3 || Sum: 07e6b16 | Correct: 07e6b16 || Equals: 1 ||
|| A: de41 | B: 179 || Sum: fce4db9 | Correct: fce4db9 || Equals: 1 ||
|| A: 9497 | B: 73e || Sum: cf61d92 | Correct: cf61d92 || Equals: 1 ||
|| A: 1c7c | B: b57 || Sum: f7b4224 | Correct: f7b4224 || Equals: 1 ||
|| A: 0cfd | B: 233 || Sum: 01c9067 | Correct: 01c9067 || Equals: 1 ||
|| A: 3077 | B: 4df || Sum: 0ec13a9 | Correct: 0ec13a9 || Equals: 1 ||
|| A: 760d | B: 4dd || Sum: 23e1d39 | Correct: 23e1d39 || Equals: 1 ||
|| A: 50bd | B: b4c || Sum: e84471c | Correct: e84471c || Equals: 1 ||
|| A: 1aa2 | B: fe0 || Sum: ffcabc0 | Correct: ffcabc0 || Equals: 1 ||
|| A: af99 | B: 078 || Sum: fda4fb8 | Correct: fda4fb8 || Equals: 1 ||
|| A: 611a | B: f4b || Sum: fbb589e | Correct: fbb589e || Equals: 1 ||
|| A: 3ab8 | B: c09 || Sum: f173078 | Correct: f173078 || Equals: 1 ||
|| A: f57d | B: 351 || Sum: fdd238d | Correct: fdd238d || Equals: 1 ||
|| A: 93c5 | B: 16a || Sum: f66f492 | Correct: f66f492 || Equals: 1 ||
|| A: 4716 | B: 702 || Sum: 1f2282c | Correct: 1f2282c || Equals: 1 ||
|| A: 6082 | B: 447 || Sum: 19ccc0e | Correct: 19ccc0e || Equals: 1 ||
|| A: 9739 | B: f41 || Sum: 04e2c79 | Correct: 04e2c79 || Equals: 1 ||
|| A: 8e58 | B: 1b9 || Sum: f3c3598 | Correct: f3c3598 || Equals: 1 ||
|| A: dd27 | B: fa5 || Sum: 00c6323 | Correct: 00c6323 || Equals: 1 ||
|| A: 1ff6 | B: 2e9 || Sum: 05d02e6 | Correct: 05d02e6 || Equals: 1 ||
|| A: 99ee | B: 31c || Sum: ec2a008 | Correct: ec2a008 || Equals: 1 ||
|| A: e1f1 | B: 6f6 || Sum: f2ec396 | Correct: f2ec396 || Equals: 1 ||
|| A: 905f | B: 34f || Sum: e8eaa51 | Correct: e8eaa51 || Equals: 1 ||
|| A: d14c | B: 70c || Sum: eb6e390 | Correct: eb6e390 || Equals: 1 ||
|| A: 8d53 | B: 82e || Sum: 380ccea | Correct: 380ccea || Equals: 1 ||
|| A: e05e | B: aa5 || Sum: 0a96896 | Correct: 0a96896 || Equals: 1 ||
|| A: fb3b | B: 2b9 || Sum: ff303a3 | Correct: ff303a3 || Equals: 1 ||
|| A: 1582 | B: 08f || Sum: 00c039e | Correct: 00c039e || Equals: 1 ||
|| A: 8eac | B: 211 || Sum: f15d16c | Correct: f15d16c || Equals: 1 ||
|| A: 2c9b | B: f94 || Sum: fed2e9c | Correct: fed2e9c || Equals: 1 ||
|| A: bab4 | B: 429 || Sum: edfb6d4 | Correct: edfb6d4 || Equals: 1 ||
|| A: 0a31 | B: 38f || Sum: 024445f | Correct: 024445f || Equals: 1 ||
|| A: d187 | B: fa3 || Sum: 010e1f5 | Correct: 010e1f5 || Equals: 1 ||
|| A: ce51 | B: 7cf || Sum: e7c0a7f | Correct: e7c0a7f || Equals: 1 ||
|| A: 26aa | B: 527 || Sum: 0c735e6 | Correct: 0c735e6 || Equals: 1 ||
|| A: 440b | B: 815 || Sum: de53ce7 | Correct: de53ce7 || Equals: 1 ||
|| A: e558 | B: 707 || Sum: f44ad68 | Correct: f44ad68 || Equals: 1 ||
|| A: 9fb6 | B: bff || Sum: 181884a | Correct: 181884a || Equals: 1 ||
|| A: 3ae0 | B: d5d || Sum: f64c360 | Correct: f64c360 || Equals: 1 ||
|| A: 0048 | B: 70f || Sum: 001fc38 | Correct: 001fc38 || Equals: 1 ||
|| A: 819b | B: a66 || Sum: 2c401c2 | Correct: 2c401c2 || Equals: 1 ||
|| A: 35f7 | B: 7f3 || Sum: 1acfa75 | Correct: 1acfa75 || Equals: 1 ||
|| A: 334e | B: 75f || Sum: 17a2bf2 | Correct: 17a2bf2 || Equals: 1 ||
|| A: 8d57 | B: e3c || Sum: 0ca7264 | Correct: 0ca7264 || Equals: 1 ||
|| A: 1e26 | B: a37 || Sum: f51962a | Correct: f51962a || Equals: 1 ||
|| A: d6d0 | B: 169 || Sum: fc5eb50 | Correct: fc5eb50 || Equals: 1 ||
|| A: 2218 | B: e56 || Sum: fc74410 | Correct: fc74410 || Equals: 1 ||
|| A: 31d5 | B: fe1 || Sum: ff9f735 | Correct: ff9f735 || Equals: 1 ||
|| A: f71e | B: 0d7 || Sum: ff88a32 | Correct: ff88a32 || Equals: 1 ||
|| A: ea1d | B: 8c2 || Sum: 09e81fa | Correct: 09e81fa || Equals: 1 ||
|| A: 0ab6 | B: 290 || Sum: 01b7260 | Correct: 01b7260 || Equals: 1 ||
|| A: 0cec | B: cc1 || Sum: fd60dec | Correct: fd60dec || Equals: 1 ||
|| A: 0a9d | B: 613 || Sum: 04077a7 | Correct: 04077a7 || Equals: 1 ||
|| A: f05e | B: 0b8 || Sum: ff4c390 | Correct: ff4c390 || Equals: 1 ||
|| A: 8f87 | B: 931 || Sum: 2fdc7d7 | Correct: 2fdc7d7 || Equals: 1 ||
|| A: 5ada | B: 8d5 || Sum: d74c762 | Correct: d74c762 || Equals: 1 ||
|| A: 282a | B: 91b || Sum: eeb166e | Correct: eeb166e || Equals: 1 ||
|| A: 8523 | B: bb5 || Sum: 20f72bf | Correct: 20f72bf || Equals: 1 ||
|| A: ac33 | B: f51 || Sum: 0394923 | Correct: 0394923 || Equals: 1 ||
|| A: 156a | B: 6c2 || Sum: 090b654 | Correct: 090b654 || Equals: 1 ||
|| A: faac | B: 73f || Sum: fd96454 | Correct: fd96454 || Equals: 1 ||
|| A: 7aa2 | B: c20 || Sum: e24cc40 | Correct: e24cc40 || Equals: 1 ||
|| A: 082b | B: d02 || Sum: fe78f56 | Correct: fe78f56 || Equals: 1 ||
|| A: c853 | B: d5b || Sum: 0933c81 | Correct: 0933c81 || Equals: 1 ||
|| A: 5e4b | B: 8da || Sum: d5df3de | Correct: d5df3de || Equals: 1 ||
|| A: d3e5 | B: c5c || Sum: 0a0924c | Correct: 0a0924c || Equals: 1 ||
|| A: f358 | B: d33 || Sum: 0237288 | Correct: 0237288 || Equals: 1 ||
|| A: 653e | B: 22e || Sum: 0dcad24 | Correct: 0dcad24 || Equals: 1 ||
|| A: 2f5b | B: b0b || Sum: f1541e9 | Correct: f1541e9 || Equals: 1 ||
|| A: 67db | B: 37a || Sum: 1690f5e | Correct: 1690f5e || Equals: 1 ||
|| A: 9249 | B: f88 || Sum: 0336dc8 | Correct: 0336dc8 || Equals: 1 ||
|| A: 7583 | B: 61c || Sum: 2cdec54 | Correct: 2cdec54 || Equals: 1 ||
|| A: 9c7f | B: 8ea || Sum: 2c11416 | Correct: 2c11416 || Equals: 1 ||
|| A: b4e9 | B: d65 || Sum: 0c3a4ed | Correct: 0c3a4ed || Equals: 1 ||
|| A: c17b | B: 1cf || Sum: f8eed75 | Correct: f8eed75 || Equals: 1 ||
|| A: 94ac | B: 586 || Sum: daf2e08 | Correct: daf2e08 || Equals: 1 ||
|| A: 5ca5 | B: d86 || Sum: f1a8f5e | Correct: f1a8f5e || Equals: 1 ||
|| A: 1026 | B: 2b1 || Sum: 02b7646 | Correct: 02b7646 || Equals: 1 ||
|| A: aa1a | B: 31f || Sum: ef3e726 | Correct: ef3e726 || Equals: 1 ||
|| A: 03a8 | B: 7df || Sum: 01cc758 | Correct: 01cc758 || Equals: 1 ||
|| A: fda1 | B: 7d1 || Sum: fed7771 | Correct: fed7771 || Equals: 1 ||
|| A: 0ff6 | B: 807 || Sum: f80bfba | Correct: f80bfba || Equals: 1 ||
|| A: c1cb | B: ef6 || Sum: 040a312 | Correct: 040a312 || Equals: 1 ||
|| A: ec7e | B: e2a || Sum: 023d0ac | Correct: 023d0ac || Equals: 1 ||
|| A: 5d1a | B: 6e4 || Sum: 2818728 | Correct: 2818728 || Equals: 1 ||
|| A: b531 | B: 5e7 || Sum: e467437 | Correct: e467437 || Equals: 1 ||
|| A: 2cbe | B: 741 || Sum: 1448e3e | Correct: 1448e3e || Equals: 1 ||
|| A: c1fa | B: 3e6 || Sum: f0e349c | Correct: f0e349c || Equals: 1 ||
|| A: 8bb1 | B: 128 || Sum: f7984a8 | Correct: f7984a8 || Equals: 1 ||
|| A: 7007 | B: df8 || Sum: f1c71c8 | Correct: f1c71c8 || Equals: 1 ||
|| A: 9388 | B: 2b4 || Sum: edacba0 | Correct: edacba0 || Equals: 1 ||
|| A: 6b05 | B: 6db || Sum: 2ddab47 | Correct: 2ddab47 || Equals: 1 ||
|| A: f422 | B: 819 || Sum: 05dc752 | Correct: 05dc752 || Equals: 1 ||
|| A: 76fa | B: f40 || Sum: fa6c480 | Correct: fa6c480 || Equals: 1 ||
|| A: d474 | B: e05 || Sum: 0563e44 | Correct: 0563e44 || Equals: 1 ||
|| A: 6ecd | B: 78b || Sum: 343c44f | Correct: 343c44f || Equals: 1 ||
|| A: 90bc | B: 4f9 || Sum: dd6b6dc | Correct: dd6b6dc || Equals: 1 ||
|| A: 3c36 | B: c9e || Sum: f345154 | Correct: f345154 || Equals: 1 ||
|| A: fcda | B: 7a6 || Sum: fe7eb5c | Correct: fe7eb5c || Equals: 1 ||
|| A: 9c4e | B: d09 || Sum: 12794be | Correct: 12794be || Equals: 1 ||
|| A: de39 | B: c29 || Sum: 081b321 | Correct: 081b321 || Equals: 1 ||
|| A: 48c8 | B: ea5 || Sum: f9d58e8 | Correct: f9d58e8 || Equals: 1 ||
|| A: 3ddc | B: 164 || Sum: 05605f0 | Correct: 05605f0 || Equals: 1 ||
|| A: 9d5c | B: fd5 || Sum: 010918c | Correct: 010918c || Equals: 1 ||
|| A: bae2 | B: c88 || Sum: 0efc010 | Correct: 0efc010 || Equals: 1 ||
|| A: 645f | B: 266 || Sum: 0f0bbda | Correct: 0f0bbda || Equals: 1 ||
|| A: 88c7 | B: 8d9 || Sum: 354b8af | Correct: 354b8af || Equals: 1 ||
|| A: 3caf | B: 846 || Sum: e2b1fda | Correct: e2b1fda || Equals: 1 ||
|| A: 763e | B: 615 || Sum: 2cf2716 | Correct: 2cf2716 || Equals: 1 ||
|| A: f33c | B: 3f0 || Sum: fcdbc40 | Correct: fcdbc40 || Equals: 1 ||
|| A: 9599 | B: 3bb || Sum: e7311c3 | Correct: e7311c3 || Equals: 1 ||
|| A: 1f73 | B: e24 || Sum: fc5862c | Correct: fc5862c || Equals: 1 ||
|| A: 08df | B: 33a || Sum: 01c9f86 | Correct: 01c9f86 || Equals: 1 ||
|| A: 39d2 | B: 8da || Sum: e62acd4 | Correct: e62acd4 || Equals: 1 ||
|| A: 7dba | B: 371 || Sum: 1b0ad1a | Correct: 1b0ad1a || Equals: 1 ||
|| A: befc | B: 5b3 || Sum: e8d7634 | Correct: e8d7634 || Equals: 1 ||
|| A: e7ea | B: 50b || Sum: f86890e | Correct: f86890e || Equals: 1 ||
